wallet_address,count,percentage
0x7541d10f475d153e73c4bae26412fc16a1b460f2,1,0.05
0x05900dcADd23e2280a6531AE16ce1AD37D69e41e,7,0.32
0x17D082D495A9617096B599A67eBaFC3cEd741bF8,4,0.18
0x5Ed3b3c359DF3f05B9C4F58Aa1b0A2d248102b81,3,0.14
0xB7BEe623a172c4A57C04e9fc5507ADf5e92F1763,8,0.36
0xaF5dbD3d5369F416eD624f3c211e1541fA99BCb3,8,0.36
0x6E4bBbF409F5381349A8717D32f3F314cD086f5B,8,0.36
0x009aC5D28442F063A771Df133394BC22700C4091,8,0.36
0xc177820BEeA610AB0545C2122c43bdD9cAA3BE5e,6,0.27
0xB9C0f1a445630c0c6D87c0a9a7Eed9E012AAE1f7,4,0.18
0xeda0ad9475AA9A08e4c2E5325e4F1FdBF12525E1,7,0.32
0x1EF4226717f96518719BB70F556AeaC78aA67E46,1,0.05
0x4d3773481829fb923cF1b48002178dEC01df0A85,1,0.05
0xe93685f3bBA03016F02bD1828BaDD6195988D950,1,0.05
0x1f99d1bc5dcd5a87c6bcb40655a7438f99b6b601,4,0.18
0x19a2fcfa3916a4b77a0c14e3a28a24f43081a341,3,0.14
0xAD6d8D1040a5253a3C7773396f0626e739AeEcC0,1,0.05
0x42Bc391D2b726148322B8Ac504e7A4E75eE604B3,3,0.14
0x86e6fa80a9a646d990da377e35d9d88699d78eec,21,0.95
0x5dddf26b92324fd6e1c38c1cfbd77a570f214574,1,0.05
0xbdcb9ea80c91c86799b98630bfb9105476924347,2,0.09
0x9b9f1f289e6e7d1f7726b4df674b5e4beab94718,3,0.14
0x0602c0dca34817a6ce2843a3add1f2fa82f26b41,4,0.18
0xd7c7561d604851eb8ff5c968703fd51945475317,1,0.05
0x42260072dd498829f5338186082ec254edebc1cd,4,0.18
0x7e1ccdc9bc46a0e925206b9093e259df074b6b3e,2,0.09
0xc6804c5ce483d2d7fde504e6db1b881af8fc42ab,2,0.09
0x99d889661f55d9d5dbac9237b19c99209a910e60,2,0.09
0x3729183468Be27AF92E5fbf559dafD33e51d99bD,5,0.23
0x041bfb0984f183e1b4fb6ab73fb2d110fe21575f,2,0.09
0x7814d9dc295cace368cc3c48ed113f0bdd73651b,2,0.09
0x5bcd934ddac8db834d3d346f8682ef308c0fb98c,1,0.05
0xa3820425c4c2f8235297b3cbdf42cbc788ed3bcc,1,0.05
0xefd1bd9ebdb1b37cf15b8e59f56df462cd828f68,1,0.05
0x19a2fcfa3916a4b77a0c14e3a28a24f43081a341,2,0.09
0xe10f96b27b27b11fb672d37308867d48775196e3,1,0.05
0xB5F08752185c5b3E62d736AA8AaBdD35Ba4880e6,1,0.05
0xB5F08752185c5b3E62d736AA8AaBdD35Ba4880e6,1,0.05
0x1F99D1Bc5dCD5A87c6bCB40655A7438F99B6B601,2,0.09
0x9EE75f7d03EA9bF8950dAf1082644d1b30F3d7FC,1,0.05
Total,991,45.0
